season,week,celebrity,total_score,avg_score,placement,results,n_judges,,,,season,week,celebrity,vote_pct
3,2,Monique Coleman,26,8.666666666666666,4,Eliminated Week 8,3,,,,3,1,Sara Evans,0.10382586609624431
3,3,Monique Coleman,27,9,4,Eliminated Week 8,3,,,,3,1,Jerry Springer,0.09841623773103293
3,4,Monique Coleman,24,8,4,Eliminated Week 8,3,,,,3,1,Tucker Carlson,0.03503534485435345
3,5,Monique Coleman,27,9,4,Eliminated Week 8,3,,,,3,2,Harry Hamlin,0.12431880602355182
3,6,Monique Coleman,23,7.666666666666667,4,Eliminated Week 8,3,,,,3,2,Vivica A. Fox,0.09003205920075812
3,7,Monique Coleman,27,9,4,Eliminated Week 8,3,,,,3,2,Monique Coleman,0.11175204561873261
3,8,Monique Coleman,26.5,8.833333333333334,4,Eliminated Week 8,3,,,,3,2,Joey Lawrence,0.10183081160996284
3,1,Joey Lawrence,21,7,3,3rd Place,3,,,,3,2,Mario Lopez,0.10439224437089858
3,2,Joey Lawrence,29,9.666666666666666,3,3rd Place,3,,,,3,2,Emmitt Smith,0.09891543090650173
3,3,Joey Lawrence,22,7.333333333333333,3,3rd Place,3,,,,3,2,Shanna Moakler,0.022898525794497006
3,4,Joey Lawrence,27,9,3,3rd Place,3,,,,3,2,Willa Ford,0.1114534513335843
3,5,Joey Lawrence,25,8.333333333333334,3,3rd Place,3,,,,3,2,Sara Evans,0.10873119248815821
3,6,Joey Lawrence,24,8,3,3rd Place,3,,,,3,2,Jerry Springer,0.1256754326533548
3,7,Joey Lawrence,28.5,9.5,3,3rd Place,3,,,,3,3,Harry Hamlin,0.029787987330070022
3,8,Joey Lawrence,27,9,3,3rd Place,3,,,,3,3,Vivica A. Fox,0.11467014555729485
3,9,Joey Lawrence,29.5,9.833333333333334,3,3rd Place,3,,,,3,3,Monique Coleman,0.11533657038207895
3,1,Mario Lopez,26,8.666666666666666,2,2nd Place,3,,,,3,3,Joey Lawrence,0.11811587685034054
3,2,Mario Lopez,21,7,2,2nd Place,3,,,,3,3,Mario Lopez,0.12841547352459848
3,3,Mario Lopez,22,7.333333333333333,2,2nd Place,3,,,,3,3,Emmitt Smith,0.12635120332173821
3,4,Mario Lopez,29,9.666666666666666,2,2nd Place,3,,,,3,3,Willa Ford,0.12423411796182682
3,5,Mario Lopez,27,9,2,2nd Place,3,,,,3,3,Sara Evans,0.11212131988850747
3,6,Mario Lopez,28,9.333333333333334,2,2nd Place,3,,,,3,3,Jerry Springer,0.1309673051835446
3,7,Mario Lopez,28,9.333333333333334,2,2nd Place,3,,,,3,4,Vivica A. Fox,0.03371632519097223
3,8,Mario Lopez,28.5,9.5,2,2nd Place,3,,,,3,4,Monique Coleman,0.13773815400613063
3,9,Mario Lopez,29.5,9.833333333333334,2,2nd Place,3,,,,3,4,Joey Lawrence,0.13345181642157597
3,10,Mario Lopez,29.666600000000003,9.888866666666667,2,2nd Place,3,,,,3,4,Mario Lopez,0.12926216189806503
3,1,Emmitt Smith,24,8,1,1st Place,3,,,,3,4,Emmitt Smith,0.13880400767920914
3,2,Emmitt Smith,24,8,1,1st Place,3,,,,3,4,Willa Ford,0.13080324812458805
3,3,Emmitt Smith,19,6.333333333333333,1,1st Place,3,,,,3,4,Sara Evans,0.1587027250847897
3,4,Emmitt Smith,24,8,1,1st Place,3,,,,3,4,Jerry Springer,0.1375215615946693
3,5,Emmitt Smith,27,9,1,1st Place,3,,,,3,5,Monique Coleman,0.16264764029279158
3,6,Emmitt Smith,25,8.333333333333334,1,1st Place,3,,,,3,5,Joey Lawrence,0.16000108536761462
3,7,Emmitt Smith,28.5,9.5,1,1st Place,3,,,,3,5,Mario Lopez,0.15562679119483053
3,8,Emmitt Smith,27,9,1,1st Place,3,,,,3,5,Emmitt Smith,0.14968917607787877
3,9,Emmitt Smith,29.5,9.833333333333334,1,1st Place,3,,,,3,5,Willa Ford,0.040016585763448555
3,10,Emmitt Smith,29.666600000000003,9.888866666666667,1,1st Place,3,,,,3,5,Sara Evans,0.1676250675389916
3,1,Shanna Moakler,18,6,10,Eliminated Week 2,3,,,,3,5,Jerry Springer,0.16439365376444434
3,2,Shanna Moakler,22,7.333333333333333,10,Eliminated Week 2,3,,,,3,6,Monique Coleman,0.12651988169569503
3,1,Willa Ford,22,7.333333333333333,7,Eliminated Week 5,3,,,,3,6,Joey Lawrence,0.16266841932303647
3,2,Willa Ford,23,7.666666666666667,7,Eliminated Week 5,3,,,,3,6,Mario Lopez,0.2277357870522511
3,3,Willa Ford,22,7.333333333333333,7,Eliminated Week 5,3,,,,3,6,Emmitt Smith,0.37955964508708506
3,4,Willa Ford,28,9.333333333333334,7,Eliminated Week 5,3,,,,3,6,Jerry Springer,0.10351626684193231
3,5,Willa Ford,27,9,7,Eliminated Week 5,3,,,,3,7,Monique Coleman,0.23069686932301894
3,1,Sara Evans,15,5,6,Withdrew,3,,,,3,7,Joey Lawrence,0.23286290280133531
3,2,Sara Evans,21,7,6,Withdrew,3,,,,3,7,Mario Lopez,0.22597952955778425
3,3,Sara Evans,25,8.333333333333334,6,Withdrew,3,,,,3,7,Emmitt Smith,0.2272557382934907
3,4,Sara Evans,20,6.666666666666667,6,Withdrew,3,,,,3,7,Jerry Springer,0.08320496002437083
3,5,Sara Evans,24,8,6,Withdrew,3,,,,3,8,Monique Coleman,0.10569804528699686
3,1,Jerry Springer,16,5.333333333333333,5,Eliminated Week 7,3,,,,3,8,Joey Lawrence,0.30747805180392285
3,2,Jerry Springer,19,6.333333333333333,5,Eliminated Week 7,3,,,,3,8,Mario Lopez,0.2973146763973015
3,3,Jerry Springer,21,7,5,Eliminated Week 7,3,,,,3,8,Emmitt Smith,0.28950922651177874
3,4,Jerry Springer,22,7.333333333333333,5,Eliminated Week 7,3,,,,3,9,Joey Lawrence,0.21126760563380279
3,5,Jerry Springer,24,8,5,Eliminated Week 7,3,,,,3,9,Mario Lopez,0.29577464788732394
3,6,Jerry Springer,18,6,5,Eliminated Week 7,3,,,,3,9,Emmitt Smith,0.4929577464788732
3,7,Jerry Springer,23,7.666666666666667,5,Eliminated Week 7,3,,,,3,10,Mario Lopez,0.375
3,1,Tucker Carlson,12,4,11,Eliminated Week 1,3,,,,3,10,Emmitt Smith,0.625
4,1,John Ratzenberger,17,5.666666666666667,6,Eliminated Week 7,3,,,,4,1,John Ratzenberger,0.06282753998268116
4,2,John Ratzenberger,21,7,6,Eliminated Week 7,3,,,,4,1,Ian Ziering,0.09075089108609499
4,3,John Ratzenberger,20,6.666666666666667,6,Eliminated Week 7,3,,,,4,1,Clyde Drexler,0.04804458939852088
4,4,John Ratzenberger,16,5.333333333333333,6,Eliminated Week 7,3,,,,4,1,Laila Ali,0.11667971711069357
4,5,John Ratzenberger,18,6,6,Eliminated Week 7,3,,,,4,1,Apolo Anton Ohno,0.272252673258285
4,6,John Ratzenberger,19,6.333333333333333,6,Eliminated Week 7,3,,,,4,1,Shandi Finnessey,0.038893239036897856
4,7,John Ratzenberger,22.5,7.5,6,Eliminated Week 7,3,,,,4,1,Paulina Porizkova,0.03551121825108065
4,1,Ian Ziering,21,7,4,Eliminated Week 9,3,,,,4,1,Heather Mills,0.054450534651657
4,2,Ian Ziering,22,7.333333333333333,4,Eliminated Week 9,3,,,,4,1,Billy Ray Cyrus,0.07425072907044136
4,3,Ian Ziering,24,8,4,Eliminated Week 9,3,,,,4,1,Joey Fatone,0.163351603954971
4,4,Ian Ziering,24,8,4,Eliminated Week 9,3,,,,4,1,Leeza Gibbons,0.04298726419867658
4,5,Ian Ziering,24,8,4,Eliminated Week 9,3,,,,4,2,John Ratzenberger,0.09336549543626149
4,6,Ian Ziering,24,8,4,Eliminated Week 9,3,,,,4,2,Ian Ziering,0.09436423065881587
4,7,Ian Ziering,27,9,4,Eliminated Week 9,3,,,,4,2,Clyde Drexler,0.11121838606872039
4,8,Ian Ziering,23.5,7.833333333333333,4,Eliminated Week 9,3,,,,4,2,Laila Ali,0.09438688792355095
4,9,Ian Ziering,29,9.666666666666666,4,Eliminated Week 9,3,,,,4,2,Apolo Anton Ohno,0.09718155664265923
4,1,Clyde Drexler,16,5.333333333333333,8,Eliminated Week 5,3,,,,4,2,Shandi Finnessey,0.09259780345196683
4,2,Clyde Drexler,18,6,8,Eliminated Week 5,3,,,,4,2,Paulina Porizkova,0.02272254065085211
4,3,Clyde Drexler,16,5.333333333333333,8,Eliminated Week 5,3,,,,4,2,Heather Mills,0.09436095843208389
4,4,Clyde Drexler,15,5,8,Eliminated Week 5,3,,,,4,2,Billy Ray Cyrus,0.10215305358871211
4,5,Clyde Drexler,13,4.333333333333333,8,Eliminated Week 5,3,,,,4,2,Joey Fatone,0.09258179623788879
4,1,Laila Ali,23,7.666666666666667,3,3rd Place,3,,,,4,2,Leeza Gibbons,0.10506729090848835
4,2,Laila Ali,27,9,3,3rd Place,3,,,,4,3,John Ratzenberger,0.09792984299545984
4,3,Laila Ali,21,7,3,3rd Place,3,,,,4,3,Ian Ziering,0.11078752233377107
4,4,Laila Ali,21,7,3,3rd Place,3,,,,4,3,Clyde Drexler,0.123853594714496
4,5,Laila Ali,28,9.333333333333334,3,3rd Place,3,,,,4,3,Laila Ali,0.11715852743676622
4,6,Laila Ali,28,9.333333333333334,3,3rd Place,3,,,,4,3,Apolo Anton Ohno,0.10778952194529534
4,7,Laila Ali,29.5,9.833333333333334,3,3rd Place,3,,,,4,3,Shandi Finnessey,0.023263210130402636
4,8,Laila Ali,26.5,8.833333333333334,3,3rd Place,3,,,,4,3,Heather Mills,0.10048462134995631
4,9,Laila Ali,30,10,3,3rd Place,3,,,,4,3,Billy Ray Cyrus,0.11223677205850936
4,10,Laila Ali,28.3332,9.444400000000002,3,3rd Place,3,,,,4,3,Joey Fatone,0.09900605016409256
4,1,Apolo Anton Ohno,21,7,1,1st Place,3,,,,4,3,Leeza Gibbons,0.10749033687125066
4,2,Apolo Anton Ohno,26,8.666666666666666,1,1st Place,3,,,,4,4,John Ratzenberger,0.1324119154252951
4,3,Apolo Anton Ohno,23,7.666666666666667,1,1st Place,3,,,,4,4,Ian Ziering,0.11703673800015543
4,4,Apolo Anton Ohno,26,8.666666666666666,1,1st Place,3,,,,4,4,Clyde Drexler,0.13269457000192897
4,5,Apolo Anton Ohno,30,10,1,1st Place,3,,,,4,4,Laila Ali,0.1176931550537456
4,6,Apolo Anton Ohno,28,9.333333333333334,1,1st Place,3,,,,4,4,Apolo Anton Ohno,0.11509567186460638
4,7,Apolo Anton Ohno,27,9,1,1st Place,3,,,,4,4,Heather Mills,0.12000585086078305
4,8,Apolo Anton Ohno,29,9.666666666666666,1,1st Place,3,,,,4,4,Billy Ray Cyrus,0.11724554249966046
4,9,Apolo Anton Ohno,29.5,9.833333333333334,1,1st Place,3,,,,4,4,Joey Fatone,0.11230291577220554
4,10,Apolo Anton Ohno,29.3332,9.777733333333334,1,1st Place,3,,,,4,4,Leeza Gibbons,0.03551364052161945
4,1,Shandi Finnessey,19,6.333333333333333,10,Eliminated Week 3,3,,,,4,5,John Ratzenberger,0.14212469012859077
4,2,Shandi Finnessey,20,6.666666666666667,10,Eliminated Week 3,3,,,,4,5,Ian Ziering,0.13583841535891555
4,3,Shandi Finnessey,21,7,10,Eliminated Week 3,3,,,,4,5,Clyde Drexler,0.05551161719483838
4,1,Paulina Porizkova,19,6.333333333333333,11,Eliminated Week 2,3,,,,4,5,Laila Ali,0.1313910621390627
4,2,Paulina Porizkova,21,7,11,Eliminated Week 2,3,,,,4,5,Apolo Anton Ohno,0.12560529726006706
4,1,Heather Mills,18,6,7,Eliminated Week 6,3,,,,4,5,Heather Mills,0.13670374793355836
4,2,Heather Mills,24,8,7,Eliminated Week 6,3,,,,4,5,Billy Ray Cyrus,0.13895833013532727
4,3,Heather Mills,24,8,7,Eliminated Week 6,3,,,,4,5,Joey Fatone,0.13386683984963987
4,4,Heather Mills,23,7.666666666666667,7,Eliminated Week 6,3,,,,4,6,John Ratzenberger,0.17018117877125052
4,5,Heather Mills,21,7,7,Eliminated Week 6,3,,,,4,6,Ian Ziering,0.15904571523728883
4,6,Heather Mills,23,7.666666666666667,7,Eliminated Week 6,3,,,,4,6,Laila Ali,0.14807939977689857
4,1,Billy Ray Cyrus,13,4.333333333333333,5,Eliminated Week 8,3,,,,4,6,Apolo Anton Ohno,0.1503558306416862
4,2,Billy Ray Cyrus,21,7,5,Eliminated Week 8,3,,,,4,6,Heather Mills,0.045027114536883385
4,3,Billy Ray Cyrus,21,7,5,Eliminated Week 8,3,,,,4,6,Billy Ray Cyrus,0.17397994573183695
4,4,Billy Ray Cyrus,21,7,5,Eliminated Week 8,3,,,,4,6,Joey Fatone,0.15333081530415552
4,5,Billy Ray Cyrus,17,5.666666666666667,5,Eliminated Week 8,3,,,,4,7,John Ratzenberger,0.060426587668075626
4,6,Billy Ray Cyrus,21,7,5,Eliminated Week 8,3,,,,4,7,Ian Ziering,0.18741757945710041
4,7,Billy Ray Cyrus,19,6.333333333333333,5,Eliminated Week 8,3,,,,4,7,Laila Ali,0.17789206501810667
4,8,Billy Ray Cyrus,19,6.333333333333333,5,Eliminated Week 8,3,,,,4,7,Apolo Anton Ohno,0.18607064324061076
4,1,Joey Fatone,24,8,2,2nd Place,3,,,,4,7,Billy Ray Cyrus,0.20355027737072504
4,2,Joey Fatone,24,8,2,2nd Place,3,,,,4,7,Joey Fatone,0.18464284724538152
4,3,Joey Fatone,24,8,2,2nd Place,3,,,,4,8,Ian Ziering,0.22544832242289645
4,4,Joey Fatone,28,9.333333333333334,2,2nd Place,3,,,,4,8,Laila Ali,0.22601827487189816
4,5,Joey Fatone,25,8.333333333333334,2,2nd Place,3,,,,4,8,Apolo Anton Ohno,0.23369060333365085
4,6,Joey Fatone,27,9,2,2nd Place,3,,,,4,8,Billy Ray Cyrus,0.089392575021282
4,7,Joey Fatone,29.5,9.833333333333334,2,2nd Place,3,,,,4,8,Joey Fatone,0.22545022435027248
4,8,Joey Fatone,27.5,9.166666666666666,2,2nd Place,3,,,,4,9,Ian Ziering,0.10586285731377351
4,9,Joey Fatone,30,10,2,2nd Place,3,,,,4,9,Laila Ali,0.3005307236039394
4,10,Joey Fatone,28.6665,9.5555,2,2nd Place,3,,,,4,9,Apolo Anton Ohno,0.30742925070259286
4,1,Leeza Gibbons,15,5,9,Eliminated Week 4,3,,,,4,9,Joey Fatone,0.28617716837969415
4,2,Leeza Gibbons,21,7,9,Eliminated Week 4,3,,,,4,10,Laila Ali,0.21126760563380279
4,3,Leeza Gibbons,24,8,9,Eliminated Week 4,3,,,,4,10,Apolo Anton Ohno,0.4929577464788732
4,4,Leeza Gibbons,16,5.333333333333333,9,Eliminated Week 4,3,,,,4,10,Joey Fatone,0.29577464788732394
5,1,Cameron Mathison,21,7,5,Eliminated Week 8,3,,,,5,1,Cameron Mathison,0.08276930879958255
5,2,Cameron Mathison,21,7,5,Eliminated Week 8,3,,,,5,1,Jane Seymour,0.0867597445534184
5,3,Cameron Mathison,23,7.666666666666667,5,Eliminated Week 8,3,,,,5,1,Sabrina Bryan,0.08955004087890064
5,4,Cameron Mathison,27,9,5,Eliminated Week 8,3,,,,5,1,Jennie Garth,0.09774397535809413
5,5,Cameron Mathison,26,8.666666666666666,5,Eliminated Week 8,3,,,,5,1,Floyd Mayweather Jr. ,0.09056149267779463
5,6,Cameron Mathison,25,8.333333333333334,5,Eliminated Week 8,3,,,,5,1,Josie Maran,0.026247058936053294
5,7,Cameron Mathison,25.5,8.5,5,Eliminated Week 8,3,,,,5,1,Albert Reed,0.08274930403018041
5,8,Cameron Mathison,25.5,8.5,5,Eliminated Week 8,3,,,,5,1,Helio Castroneves,0.08577545834626071
5,1,Jane Seymour,24,8,6,Eliminated Week 7,3,,,,5,1,Mel B,0.0840331294547018
5,2,Jane Seymour,21,7,6,Eliminated Week 7,3,,,,5,1,Wayne Newton,0.09631766553748687
5,3,Jane Seymour,27,9,6,Eliminated Week 7,3,,,,5,1,Marie Osmond,0.08740422381531819
5,4,Jane Seymour,26,8.666666666666666,6,Eliminated Week 7,3,,,,5,1,Mark Cuban,0.09008859761220837
5,5,Jane Seymour,26,8.666666666666666,6,Eliminated Week 7,3,,,,5,2,Cameron Mathison,0.09510308125512568
5,6,Jane Seymour,22,7.333333333333333,6,Eliminated Week 7,3,,,,5,2,Jane Seymour,0.08928406810917662
5,7,Jane Seymour,25,8.333333333333334,6,Eliminated Week 7,3,,,,5,2,Sabrina Bryan,0.09659354353148732
5,1,Sabrina Bryan,26,8.666666666666666,7,Eliminated Week 6,3,,,,5,2,Jennie Garth,0.09160751515422971
5,2,Sabrina Bryan,26,8.666666666666666,7,Eliminated Week 6,3,,,,5,2,Floyd Mayweather Jr. ,0.10003218994989112
5,3,Sabrina Bryan,27,9,7,Eliminated Week 6,3,,,,5,2,Albert Reed,0.021862934545645103
5,4,Sabrina Bryan,30,10,7,Eliminated Week 6,3,,,,5,2,Helio Castroneves,0.08838258112803755
5,5,Sabrina Bryan,28,9.333333333333334,7,Eliminated Week 6,3,,,,5,2,Mel B,0.09883360370910843
5,6,Sabrina Bryan,25,8.333333333333334,7,Eliminated Week 6,3,,,,5,2,Wayne Newton,0.11964326713730605
5,1,Jennie Garth,21,7,4,Eliminated Week 9,3,,,,5,2,Marie Osmond,0.09348368345420187
5,2,Jennie Garth,21,7,4,Eliminated Week 9,3,,,,5,2,Mark Cuban,0.10517353202579051
5,3,Jennie Garth,26,8.666666666666666,4,Eliminated Week 9,3,,,,5,3,Cameron Mathison,0.10729443037123003
5,4,Jennie Garth,27,9,4,Eliminated Week 9,3,,,,5,3,Jane Seymour,0.10207350695108476
5,5,Jennie Garth,25,8.333333333333334,4,Eliminated Week 9,3,,,,5,3,Sabrina Bryan,0.09832333571957057
5,6,Jennie Garth,27,9,4,Eliminated Week 9,3,,,,5,3,Jennie Garth,0.09910943878639894
